feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0034990427,0.0034990427
negative_amortization,0.0014431027,0.0014431027
occupancy_type,-0.0012826227,0.0012826227
action_taken,-0.0010136962,0.0010136962
manufactured_home_secured_property_type,-0.0008010499,0.0008010499
reverse_mortgage,0.00066905125,0.00066905125
interest_only_payment,0.00046557238,0.00046557238
lien_status,-0.0004512763,0.0004512763
business_or_commercial_purpose,0.0004191225,0.0004191225
conforming_loan_limit,0.0002217022,0.0002217022
other_nonamortizing_features,-0.00010639341,0.00010639341
preapproval,-7.1033835e-05,7.1033835e-05
initially_payable_to_institution,-0.0,0.0
loan_purpose,0.0,0.0
balloon_payment,-0.0,0.0
loan_type,0.0,0.0
open_end_line_of_credit,0.0,0.0
construction_method,0.0,0.0
