feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0041309167,0.0041309167
business_or_commercial_purpose,0.0024397005,0.0024397005
initially_payable_to_institution,-0.0022098073,0.0022098073
reverse_mortgage,0.0014431425,0.0014431425
negative_amortization,0.0011391668,0.0011391668
other_nonamortizing_features,-0.0010210982,0.0010210982
action_taken,-0.0006665581,0.0006665581
preapproval,-0.0004680472,0.0004680472
open_end_line_of_credit,-0.00015782811,0.00015782811
balloon_payment,-0.00015113308,0.00015113308
manufactured_home_secured_property_type,0.00013174265,0.00013174265
interest_only_payment,-5.7202124e-05,5.7202124e-05
loan_purpose,-2.2247385e-05,2.2247385e-05
occupancy_type,-0.0,0.0
lien_status,0.0,0.0
conforming_loan_limit,-0.0,0.0
loan_type,-0.0,0.0
construction_method,-0.0,0.0
