feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0025506662,0.0025506662
occupancy_type,-0.0021856965,0.0021856965
negative_amortization,0.0014903537,0.0014903537
manufactured_home_secured_property_type,-0.00092421094,0.00092421094
action_taken,-0.00078229664,0.00078229664
reverse_mortgage,0.0006451562,0.0006451562
interest_only_payment,0.0005613917,0.0005613917
conforming_loan_limit,-0.0005457231,0.0005457231
other_nonamortizing_features,0.00045658075,0.00045658075
preapproval,-0.00026592202,0.00026592202
lien_status,-0.00024043348,0.00024043348
loan_purpose,0.00012810616,0.00012810616
open_end_line_of_credit,-3.834747e-06,3.834747e-06
loan_type,0.0,0.0
business_or_commercial_purpose,0.0,0.0
balloon_payment,-0.0,0.0
initially_payable_to_institution,-0.0,0.0
construction_method,0.0,0.0
