feature,attribution,abs_attribution
occupancy_type,-0.0026286195,0.0026286195
manufactured_home_land_property_interest,-0.0022494704,0.0022494704
business_or_commercial_purpose,0.0009848647,0.0009848647
manufactured_home_secured_property_type,-0.00084860105,0.00084860105
negative_amortization,0.00084482797,0.00084482797
loan_purpose,0.0006819989,0.0006819989
initially_payable_to_institution,-0.00062972977,0.00062972977
reverse_mortgage,0.00056633784,0.00056633784
other_nonamortizing_features,-0.00046440773,0.00046440773
preapproval,-0.00043536018,0.00043536018
conforming_loan_limit,-0.0002979388,0.0002979388
balloon_payment,-0.0001598508,0.0001598508
open_end_line_of_credit,-0.0,0.0
loan_type,0.0,0.0
construction_method,0.0,0.0
interest_only_payment,0.0,0.0
lien_status,-0.0,0.0
action_taken,-0.0,0.0
