feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0032889226,0.0032889226
occupancy_type,-0.00093890284,0.00093890284
action_taken,-0.0008331015,0.0008331015
negative_amortization,0.00051378476,0.00051378476
initially_payable_to_institution,-0.0003289359,0.0003289359
preapproval,-0.00032444124,0.00032444124
manufactured_home_secured_property_type,-0.00028973306,0.00028973306
reverse_mortgage,0.00028303824,0.00028303824
open_end_line_of_credit,0.00019119312,0.00019119312
balloon_payment,0.00013629216,0.00013629216
loan_purpose,-5.9749927e-05,5.9749927e-05
other_nonamortizing_features,-2.0279376e-05,2.0279376e-05
loan_type,0.0,0.0
business_or_commercial_purpose,0.0,0.0
interest_only_payment,0.0,0.0
lien_status,-0.0,0.0
conforming_loan_limit,-0.0,0.0
construction_method,0.0,0.0
