feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.004406116,0.004406116
negative_amortization,0.0010720887,0.0010720887
business_or_commercial_purpose,0.0009529946,0.0009529946
other_nonamortizing_features,-0.00079923833,0.00079923833
reverse_mortgage,0.00074695796,0.00074695796
manufactured_home_secured_property_type,-0.0005688753,0.0005688753
loan_purpose,0.0004951121,0.0004951121
initially_payable_to_institution,0.0004719483,0.0004719483
preapproval,-0.00013978258,0.00013978258
interest_only_payment,1.320973e-05,1.320973e-05
conforming_loan_limit,-9.451736e-06,9.451736e-06
balloon_payment,-0.0,0.0
open_end_line_of_credit,-0.0,0.0
loan_type,0.0,0.0
construction_method,0.0,0.0
occupancy_type,-0.0,0.0
lien_status,-0.0,0.0
action_taken,-0.0,0.0
