feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.003391564,0.003391564
negative_amortization,0.0016055199,0.0016055199
business_or_commercial_purpose,0.0006538527,0.0006538527
action_taken,-0.0006362091,0.0006362091
reverse_mortgage,0.00052594923,0.00052594923
preapproval,-0.00045392802,0.00045392802
manufactured_home_secured_property_type,-0.00044432006,0.00044432006
loan_type,-0.0004378579,0.0004378579
interest_only_payment,-0.00036870927,0.00036870927
open_end_line_of_credit,-0.00030528253,0.00030528253
other_nonamortizing_features,-0.0002241858,0.0002241858
balloon_payment,-2.1113136e-05,2.1113136e-05
occupancy_type,-0.0,0.0
loan_purpose,0.0,0.0
initially_payable_to_institution,-0.0,0.0
lien_status,-0.0,0.0
conforming_loan_limit,-0.0,0.0
construction_method,-0.0,0.0
