feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0032151204,0.0032151204
negative_amortization,0.0015470922,0.0015470922
occupancy_type,-0.0010884693,0.0010884693
balloon_payment,-0.0005115369,0.0005115369
action_taken,-0.0004345121,0.0004345121
reverse_mortgage,0.0003962384,0.0003962384
preapproval,-0.00037011728,0.00037011728
conforming_loan_limit,-0.00025743066,0.00025743066
business_or_commercial_purpose,0.0002477589,0.0002477589
interest_only_payment,-0.0001876006,0.0001876006
manufactured_home_secured_property_type,-0.00012030966,0.00012030966
other_nonamortizing_features,-0.00011533083,0.00011533083
initially_payable_to_institution,0.0,0.0
loan_purpose,0.0,0.0
lien_status,-0.0,0.0
loan_type,-0.0,0.0
open_end_line_of_credit,-0.0,0.0
construction_method,0.0,0.0
