feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0031752947,0.0031752947
occupancy_type,-0.0017613714,0.0017613714
business_or_commercial_purpose,0.0014645066,0.0014645066
negative_amortization,0.00086595846,0.00086595846
loan_purpose,-0.00085223524,0.00085223524
reverse_mortgage,0.00079038914,0.00079038914
action_taken,-0.0007153765,0.0007153765
other_nonamortizing_features,-0.000594673,0.000594673
preapproval,-0.00046146693,0.00046146693
conforming_loan_limit,-0.00045995595,0.00045995595
balloon_payment,-0.00034973878,0.00034973878
manufactured_home_secured_property_type,0.00021659677,0.00021659677
interest_only_payment,-5.3681004e-05,5.3681004e-05
open_end_line_of_credit,4.821285e-05,4.821285e-05
initially_payable_to_institution,3.9763174e-05,3.9763174e-05
lien_status,-0.0,0.0
loan_type,0.0,0.0
construction_method,-0.0,0.0
