feature,attribution,abs_attribution
occupancy_type,-0.002692345,0.002692345
negative_amortization,0.0013729414,0.0013729414
manufactured_home_land_property_interest,-0.0012160257,0.0012160257
conforming_loan_limit,-0.0010735741,0.0010735741
manufactured_home_secured_property_type,-0.0010032845,0.0010032845
other_nonamortizing_features,0.00054653245,0.00054653245
lien_status,-0.00047014194,0.00047014194
reverse_mortgage,0.0004520408,0.0004520408
open_end_line_of_credit,-0.0003752425,0.0003752425
preapproval,-9.880549e-05,9.880549e-05
business_or_commercial_purpose,-0.0,0.0
loan_type,0.0,0.0
balloon_payment,-0.0,0.0
construction_method,0.0,0.0
interest_only_payment,0.0,0.0
initially_payable_to_institution,-0.0,0.0
loan_purpose,0.0,0.0
action_taken,0.0,0.0
