feature,attribution,abs_attribution
loan_purpose,-0.0029301925,0.0029301925
manufactured_home_land_property_interest,-0.0024738032,0.0024738032
business_or_commercial_purpose,0.0020104297,0.0020104297
negative_amortization,0.0013798598,0.0013798598
action_taken,-0.0013221349,0.0013221349
reverse_mortgage,0.0007530895,0.0007530895
manufactured_home_secured_property_type,0.00054356735,0.00054356735
other_nonamortizing_features,-0.0005101171,0.0005101171
lien_status,-0.0003800711,0.0003800711
balloon_payment,-0.0001873215,0.0001873215
preapproval,0.0001861572,0.0001861572
open_end_line_of_credit,1.9883686e-05,1.9883686e-05
occupancy_type,-0.0,0.0
initially_payable_to_institution,0.0,0.0
conforming_loan_limit,-0.0,0.0
interest_only_payment,-0.0,0.0
loan_type,-0.0,0.0
construction_method,-0.0,0.0
