feature,attribution,abs_attribution
loan_purpose,-0.0022447854,0.0022447854
manufactured_home_land_property_interest,-0.0018200012,0.0018200012
business_or_commercial_purpose,0.0013720953,0.0013720953
action_taken,-0.0011171133,0.0011171133
conforming_loan_limit,-0.00070372893,0.00070372893
negative_amortization,0.00065594504,0.00065594504
preapproval,-0.00047346944,0.00047346944
manufactured_home_secured_property_type,0.00044955904,0.00044955904
occupancy_type,-0.00025356698,0.00025356698
balloon_payment,0.00023527918,0.00023527918
reverse_mortgage,0.00021725325,0.00021725325
lien_status,0.0,0.0
other_nonamortizing_features,-0.0,0.0
initially_payable_to_institution,0.0,0.0
interest_only_payment,-0.0,0.0
loan_type,0.0,0.0
open_end_line_of_credit,0.0,0.0
construction_method,-0.0,0.0
