feature,attribution,abs_attribution
negative_amortization,0.0022246686,0.0022246686
business_or_commercial_purpose,0.0020323733,0.0020323733
loan_purpose,-0.001383488,0.001383488
action_taken,-0.0011765902,0.0011765902
preapproval,-0.00052871695,0.00052871695
interest_only_payment,0.00035822007,0.00035822007
reverse_mortgage,0.00031187292,0.00031187292
construction_method,-0.00028070097,0.00028070097
balloon_payment,-0.00011881672,0.00011881672
conforming_loan_limit,0.00011514268,0.00011514268
other_nonamortizing_features,-8.2122264e-05,8.2122264e-05
occupancy_type,-0.0,0.0
lien_status,-0.0,0.0
initially_payable_to_institution,0.0,0.0
manufactured_home_land_property_interest,0.0,0.0
manufactured_home_secured_property_type,-0.0,0.0
loan_type,-0.0,0.0
open_end_line_of_credit,-0.0,0.0
