feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0028138526,0.0028138526
initially_payable_to_institution,0.0016176903,0.0016176903
loan_type,0.0009885721,0.0009885721
open_end_line_of_credit,-0.00085746276,0.00085746276
reverse_mortgage,0.00077441946,0.00077441946
negative_amortization,0.0006576233,0.0006576233
preapproval,-0.00054759014,0.00054759014
balloon_payment,-0.00042493438,0.00042493438
conforming_loan_limit,-0.0004183114,0.0004183114
interest_only_payment,0.00011212558,0.00011212558
business_or_commercial_purpose,5.1652754e-05,5.1652754e-05
manufactured_home_secured_property_type,9.665556e-06,9.665556e-06
construction_method,0.0,0.0
other_nonamortizing_features,-0.0,0.0
loan_purpose,0.0,0.0
occupancy_type,-0.0,0.0
lien_status,-0.0,0.0
action_taken,-0.0,0.0
