feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0033846148,0.0033846148
occupancy_type,-0.0012754144,0.0012754144
loan_purpose,-0.0009872513,0.0009872513
negative_amortization,0.000732443,0.000732443
other_nonamortizing_features,-0.0005467816,0.0005467816
preapproval,-0.0005343754,0.0005343754
reverse_mortgage,0.00034995947,0.00034995947
open_end_line_of_credit,-4.755394e-05,4.755394e-05
manufactured_home_secured_property_type,4.002359e-05,4.002359e-05
balloon_payment,-5.34117e-06,5.34117e-06
business_or_commercial_purpose,0.0,0.0
loan_type,0.0,0.0
construction_method,0.0,0.0
interest_only_payment,-0.0,0.0
initially_payable_to_institution,-0.0,0.0
lien_status,0.0,0.0
conforming_loan_limit,-0.0,0.0
action_taken,-0.0,0.0
