feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0076273046,0.0076273046
initially_payable_to_institution,0.002859677,0.002859677
negative_amortization,0.0015130428,0.0015130428
other_nonamortizing_features,-0.0014162277,0.0014162277
balloon_payment,-0.0012395646,0.0012395646
manufactured_home_secured_property_type,-0.0012341343,0.0012341343
business_or_commercial_purpose,0.0011429361,0.0011429361
reverse_mortgage,0.0009489188,0.0009489188
open_end_line_of_credit,-0.0009065028,0.0009065028
action_taken,-0.0005768703,0.0005768703
loan_type,0.0002498401,0.0002498401
conforming_loan_limit,0.00024789278,0.00024789278
interest_only_payment,0.00016926543,0.00016926543
preapproval,0.00012432272,0.00012432272
loan_purpose,0.0,0.0
occupancy_type,-0.0,0.0
lien_status,-0.0,0.0
construction_method,-0.0,0.0
