feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0024430049,0.0024430049
negative_amortization,0.0014759428,0.0014759428
conforming_loan_limit,-0.00045661035,0.00045661035
manufactured_home_secured_property_type,-0.00031834087,0.00031834087
business_or_commercial_purpose,0.0003109308,0.0003109308
reverse_mortgage,0.00028517196,0.00028517196
preapproval,-0.00019855653,0.00019855653
open_end_line_of_credit,0.00017339247,0.00017339247
lien_status,-0.00015132218,0.00015132218
balloon_payment,-0.00012207041,0.00012207041
other_nonamortizing_features,2.802818e-05,2.802818e-05
loan_type,-0.0,0.0
construction_method,0.0,0.0
interest_only_payment,0.0,0.0
initially_payable_to_institution,-0.0,0.0
loan_purpose,0.0,0.0
occupancy_type,-0.0,0.0
action_taken,-0.0,0.0
