feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0036646116,0.0036646116
business_or_commercial_purpose,0.0017589917,0.0017589917
loan_purpose,-0.0014268854,0.0014268854
reverse_mortgage,0.00097555754,0.00097555754
initially_payable_to_institution,-0.00081378897,0.00081378897
occupancy_type,-0.0008033481,0.0008033481
negative_amortization,0.00065528473,0.00065528473
other_nonamortizing_features,-0.00059242296,0.00059242296
preapproval,-0.0005798538,0.0005798538
manufactured_home_secured_property_type,0.00023232888,0.00023232888
interest_only_payment,8.435943e-05,8.435943e-05
open_end_line_of_credit,8.1460814e-05,8.1460814e-05
balloon_payment,-5.063914e-05,5.063914e-05
loan_type,0.0,0.0
construction_method,-0.0,0.0
lien_status,0.0,0.0
conforming_loan_limit,-0.0,0.0
action_taken,-0.0,0.0
