feature,attribution,abs_attribution
loan_purpose,-0.00377822,0.00377822
business_or_commercial_purpose,0.002016214,0.002016214
manufactured_home_land_property_interest,-0.0019671763,0.0019671763
negative_amortization,0.0017367622,0.0017367622
action_taken,-0.0010613684,0.0010613684
reverse_mortgage,0.0006164409,0.0006164409
conforming_loan_limit,-0.0005943485,0.0005943485
other_nonamortizing_features,-0.0004901935,0.0004901935
open_end_line_of_credit,0.00035921938,0.00035921938
construction_method,-0.0003304253,0.0003304253
balloon_payment,-0.00021726207,0.00021726207
preapproval,-0.00020652248,0.00020652248
manufactured_home_secured_property_type,-9.486384e-05,9.486384e-05
interest_only_payment,7.10232e-05,7.10232e-05
occupancy_type,-0.0,0.0
initially_payable_to_institution,-0.0,0.0
lien_status,0.0,0.0
loan_type,-0.0,0.0
