feature,attribution,abs_attribution
loan_purpose,-0.0041879104,0.0041879104
manufactured_home_land_property_interest,-0.0018464649,0.0018464649
business_or_commercial_purpose,0.0017316749,0.0017316749
initially_payable_to_institution,-0.00079364656,0.00079364656
reverse_mortgage,0.00079334364,0.00079334364
manufactured_home_secured_property_type,0.00048189212,0.00048189212
preapproval,-0.0004286887,0.0004286887
negative_amortization,0.00042626009,0.00042626009
other_nonamortizing_features,-0.00038455587,0.00038455587
interest_only_payment,0.0002348096,0.0002348096
open_end_line_of_credit,0.000117209565,0.000117209565
balloon_payment,9.257342e-05,9.257342e-05
loan_type,-0.0,0.0
construction_method,-0.0,0.0
occupancy_type,-0.0,0.0
lien_status,0.0,0.0
conforming_loan_limit,-0.0,0.0
action_taken,-0.0,0.0
