feature,attribution,abs_attribution
loan_purpose,-0.0027600576,0.0027600576
business_or_commercial_purpose,0.0021343918,0.0021343918
manufactured_home_land_property_interest,-0.0019406063,0.0019406063
initially_payable_to_institution,-0.0018056724,0.0018056724
reverse_mortgage,0.00090782647,0.00090782647
negative_amortization,0.0008031028,0.0008031028
conforming_loan_limit,-0.0007010169,0.0007010169
other_nonamortizing_features,-0.00054851285,0.00054851285
interest_only_payment,0.00044003563,0.00044003563
balloon_payment,-0.00035558056,0.00035558056
lien_status,-0.00024566075,0.00024566075
open_end_line_of_credit,-0.00023221163,0.00023221163
preapproval,-0.00016861642,0.00016861642
manufactured_home_secured_property_type,6.3143416e-06,6.3143416e-06
loan_type,0.0,0.0
construction_method,-0.0,0.0
occupancy_type,-0.0,0.0
action_taken,-0.0,0.0
