feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0045978785,0.0045978785
negative_amortization,0.0017600408,0.0017600408
business_or_commercial_purpose,0.0017052832,0.0017052832
reverse_mortgage,0.0011694874,0.0011694874
balloon_payment,-0.0011449609,0.0011449609
initially_payable_to_institution,-0.0008620826,0.0008620826
other_nonamortizing_features,-0.0008430587,0.0008430587
manufactured_home_secured_property_type,-0.0007494438,0.0007494438
interest_only_payment,-0.00074083084,0.00074083084
loan_purpose,0.0005248701,0.0005248701
action_taken,-0.0005172924,0.0005172924
open_end_line_of_credit,0.00047005733,0.00047005733
conforming_loan_limit,-0.0004610694,0.0004610694
preapproval,0.00018576188,0.00018576188
occupancy_type,-0.0,0.0
lien_status,0.0,0.0
loan_type,-0.0,0.0
construction_method,-0.0,0.0
