feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0033600705,0.0033600705
negative_amortization,0.0015701049,0.0015701049
action_taken,-0.0011362964,0.0011362964
business_or_commercial_purpose,0.0008257655,0.0008257655
manufactured_home_secured_property_type,-0.00073451403,0.00073451403
balloon_payment,-0.00064829655,0.00064829655
reverse_mortgage,0.0004845099,0.0004845099
interest_only_payment,-0.00030861155,0.00030861155
lien_status,-0.0002751144,0.0002751144
conforming_loan_limit,-0.0002356335,0.0002356335
preapproval,9.2002134e-05,9.2002134e-05
other_nonamortizing_features,6.655193e-05,6.655193e-05
occupancy_type,-0.0,0.0
loan_purpose,0.0,0.0
initially_payable_to_institution,-0.0,0.0
loan_type,-0.0,0.0
open_end_line_of_credit,0.0,0.0
construction_method,-0.0,0.0
