feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.003739003,0.003739003
business_or_commercial_purpose,0.0014793952,0.0014793952
loan_purpose,-0.001232255,0.001232255
negative_amortization,0.00086103374,0.00086103374
occupancy_type,-0.000760043,0.000760043
other_nonamortizing_features,-0.0006732264,0.0006732264
reverse_mortgage,0.0006127664,0.0006127664
preapproval,-0.00020567146,0.00020567146
manufactured_home_secured_property_type,0.00017960064,0.00017960064
balloon_payment,-0.00011516029,0.00011516029
open_end_line_of_credit,6.253624e-05,6.253624e-05
loan_type,-0.0,0.0
construction_method,-0.0,0.0
interest_only_payment,-0.0,0.0
initially_payable_to_institution,-0.0,0.0
lien_status,0.0,0.0
conforming_loan_limit,-0.0,0.0
action_taken,-0.0,0.0
