feature,attribution,abs_attribution
loan_purpose,-0.0049201967,0.0049201967
business_or_commercial_purpose,0.0011897545,0.0011897545
negative_amortization,0.00097138475,0.00097138475
reverse_mortgage,0.0009322168,0.0009322168
manufactured_home_land_property_interest,-0.00074350776,0.00074350776
preapproval,-0.00026557237,0.00026557237
conforming_loan_limit,-0.00025211318,0.00025211318
interest_only_payment,0.00015481313,0.00015481313
manufactured_home_secured_property_type,-0.00011492713,0.00011492713
open_end_line_of_credit,0.0,0.0
loan_type,0.0,0.0
balloon_payment,-0.0,0.0
construction_method,-0.0,0.0
initially_payable_to_institution,-0.0,0.0
other_nonamortizing_features,-0.0,0.0
occupancy_type,-0.0,0.0
lien_status,0.0,0.0
action_taken,-0.0,0.0
