feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0030029793,0.0030029793
negative_amortization,0.0015584532,0.0015584532
conforming_loan_limit,-0.00069836143,0.00069836143
balloon_payment,-0.00052412035,0.00052412035
other_nonamortizing_features,-0.0004320214,0.0004320214
business_or_commercial_purpose,0.00032471877,0.00032471877
reverse_mortgage,0.00026074378,0.00026074378
open_end_line_of_credit,0.00020429064,0.00020429064
preapproval,-0.00019215274,0.00019215274
interest_only_payment,-0.00015164485,0.00015164485
initially_payable_to_institution,0.00011795939,0.00011795939
manufactured_home_secured_property_type,4.448476e-06,4.448476e-06
loan_type,-0.0,0.0
construction_method,0.0,0.0
loan_purpose,0.0,0.0
occupancy_type,-0.0,0.0
lien_status,0.0,0.0
action_taken,-0.0,0.0
