feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0045089168,0.0045089168
occupancy_type,-0.0014531474,0.0014531474
negative_amortization,0.001018703,0.001018703
action_taken,-0.0008389531,0.0008389531
other_nonamortizing_features,-0.0006978818,0.0006978818
reverse_mortgage,0.00052623305,0.00052623305
preapproval,-0.00036853802,0.00036853802
balloon_payment,0.00023065342,0.00023065342
loan_purpose,-0.00018934724,0.00018934724
open_end_line_of_credit,0.00015872973,0.00015872973
manufactured_home_secured_property_type,0.00015747185,0.00015747185
loan_type,0.0,0.0
business_or_commercial_purpose,0.0,0.0
interest_only_payment,0.0,0.0
initially_payable_to_institution,-0.0,0.0
lien_status,-0.0,0.0
conforming_loan_limit,-0.0,0.0
construction_method,0.0,0.0
