feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0033663874,0.0033663874
negative_amortization,0.0015348686,0.0015348686
action_taken,-0.0010497657,0.0010497657
manufactured_home_secured_property_type,-0.0008122831,0.0008122831
business_or_commercial_purpose,0.0008020482,0.0008020482
lien_status,-0.0005693457,0.0005693457
reverse_mortgage,0.0005688931,0.0005688931
interest_only_payment,-6.5824046e-05,6.5824046e-05
preapproval,6.4742526e-05,6.4742526e-05
conforming_loan_limit,-5.5802306e-05,5.5802306e-05
other_nonamortizing_features,-1.5236827e-05,1.5236827e-05
occupancy_type,-0.0,0.0
loan_purpose,0.0,0.0
initially_payable_to_institution,-0.0,0.0
balloon_payment,-0.0,0.0
loan_type,-0.0,0.0
open_end_line_of_credit,0.0,0.0
construction_method,-0.0,0.0
