feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0030662953,0.0030662953
occupancy_type,-0.0018385766,0.0018385766
negative_amortization,0.0010324795,0.0010324795
action_taken,-0.0005067502,0.0005067502
interest_only_payment,0.00040834205,0.00040834205
preapproval,-0.00034328972,0.00034328972
balloon_payment,-0.0003233462,0.0003233462
reverse_mortgage,0.00027684798,0.00027684798
conforming_loan_limit,-0.00026121933,0.00026121933
manufactured_home_secured_property_type,-7.472179e-05,7.472179e-05
loan_purpose,-2.480459e-05,2.480459e-05
open_end_line_of_credit,-1.7533192e-05,1.7533192e-05
other_nonamortizing_features,1.2271826e-05,1.2271826e-05
initially_payable_to_institution,1.1966933e-05,1.1966933e-05
loan_type,0.0,0.0
business_or_commercial_purpose,0.0,0.0
lien_status,-0.0,0.0
construction_method,0.0,0.0
