feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.002265218,0.002265218
loan_purpose,-0.0019311078,0.0019311078
other_nonamortizing_features,-0.001043761,0.001043761
action_taken,-0.0010284194,0.0010284194
occupancy_type,-0.0010020703,0.0010020703
negative_amortization,0.0009250582,0.0009250582
conforming_loan_limit,-0.00052340917,0.00052340917
reverse_mortgage,0.00045349958,0.00045349958
balloon_payment,-0.0003579996,0.0003579996
interest_only_payment,-0.00035367117,0.00035367117
preapproval,-0.00016017833,0.00016017833
open_end_line_of_credit,0.00013981022,0.00013981022
manufactured_home_secured_property_type,0.00010709979,0.00010709979
loan_type,8.27189e-05,8.27189e-05
business_or_commercial_purpose,0.0,0.0
initially_payable_to_institution,0.0,0.0
lien_status,0.0,0.0
construction_method,0.0,0.0
