feature,attribution,abs_attribution
loan_purpose,-0.003894801,0.003894801
business_or_commercial_purpose,0.0018520979,0.0018520979
construction_method,-0.000870744,0.000870744
negative_amortization,0.00074219354,0.00074219354
action_taken,-0.0005399236,0.0005399236
interest_only_payment,0.0005257127,0.0005257127
manufactured_home_secured_property_type,-0.0004570071,0.0004570071
preapproval,-0.0004507418,0.0004507418
conforming_loan_limit,-0.00038699314,0.00038699314
reverse_mortgage,0.00030799792,0.00030799792
balloon_payment,-0.0002315806,0.0002315806
loan_type,0.00022802038,0.00022802038
other_nonamortizing_features,-8.3811356e-05,8.3811356e-05
open_end_line_of_credit,-2.7819216e-05,2.7819216e-05
lien_status,0.0,0.0
occupancy_type,-0.0,0.0
initially_payable_to_institution,0.0,0.0
manufactured_home_land_property_interest,-0.0,0.0
