feature,attribution,abs_attribution
loan_purpose,-0.002691294,0.002691294
manufactured_home_land_property_interest,-0.0023859285,0.0023859285
business_or_commercial_purpose,0.0018143285,0.0018143285
action_taken,-0.0010517854,0.0010517854
negative_amortization,0.0009354148,0.0009354148
reverse_mortgage,0.0008764144,0.0008764144
initially_payable_to_institution,-0.00048685502,0.00048685502
preapproval,-0.00036622275,0.00036622275
manufactured_home_secured_property_type,-0.00019220171,0.00019220171
open_end_line_of_credit,0.00016975046,0.00016975046
interest_only_payment,-0.00016139579,0.00016139579
other_nonamortizing_features,-0.00015496409,0.00015496409
balloon_payment,-0.00013047573,0.00013047573
occupancy_type,-0.0,0.0
lien_status,-0.0,0.0
conforming_loan_limit,-0.0,0.0
loan_type,-0.0,0.0
construction_method,-0.0,0.0
