feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0032964468,0.0032964468
negative_amortization,0.0012806929,0.0012806929
occupancy_type,-0.0012448283,0.0012448283
preapproval,-0.00055150007,0.00055150007
conforming_loan_limit,-0.00055037136,0.00055037136
manufactured_home_secured_property_type,-0.00049975264,0.00049975264
action_taken,-0.00042977548,0.00042977548
balloon_payment,-0.00031341077,0.00031341077
reverse_mortgage,0.0002988397,0.0002988397
interest_only_payment,0.00012630473,0.00012630473
business_or_commercial_purpose,5.2797324e-05,5.2797324e-05
other_nonamortizing_features,-3.1516898e-05,3.1516898e-05
open_end_line_of_credit,-9.9252875e-06,9.9252875e-06
initially_payable_to_institution,0.0,0.0
loan_purpose,0.0,0.0
lien_status,0.0,0.0
loan_type,0.0,0.0
construction_method,0.0,0.0
