feature,attribution,abs_attribution
loan_purpose,-0.0022707179,0.0022707179
manufactured_home_land_property_interest,-0.0015958273,0.0015958273
business_or_commercial_purpose,0.0014556064,0.0014556064
action_taken,-0.001292142,0.001292142
negative_amortization,0.0008931484,0.0008931484
conforming_loan_limit,-0.00060943246,0.00060943246
reverse_mortgage,0.0004164182,0.0004164182
manufactured_home_secured_property_type,0.00025005577,0.00025005577
balloon_payment,5.9692873e-05,5.9692873e-05
preapproval,-5.0991326e-05,5.0991326e-05
occupancy_type,-0.0,0.0
lien_status,0.0,0.0
other_nonamortizing_features,-0.0,0.0
initially_payable_to_institution,0.0,0.0
interest_only_payment,-0.0,0.0
loan_type,0.0,0.0
open_end_line_of_credit,0.0,0.0
construction_method,0.0,0.0
