feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.004362335,0.004362335
business_or_commercial_purpose,0.0014401893,0.0014401893
action_taken,-0.0010623891,0.0010623891
negative_amortization,0.0009438854,0.0009438854
loan_purpose,-0.0009372184,0.0009372184
occupancy_type,-0.0006731397,0.0006731397
other_nonamortizing_features,-0.0006486786,0.0006486786
reverse_mortgage,0.000596914,0.000596914
manufactured_home_secured_property_type,0.0004957414,0.0004957414
preapproval,-0.0002434065,0.0002434065
open_end_line_of_credit,0.00023913757,0.00023913757
balloon_payment,0.00010115559,0.00010115559
lien_status,0.0,0.0
initially_payable_to_institution,-0.0,0.0
conforming_loan_limit,-0.0,0.0
interest_only_payment,-0.0,0.0
loan_type,-0.0,0.0
construction_method,-0.0,0.0
