feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0033093041,0.0033093041
occupancy_type,-0.001226186,0.001226186
manufactured_home_secured_property_type,-0.0010540158,0.0010540158
negative_amortization,0.0009026451,0.0009026451
action_taken,-0.00073034957,0.00073034957
preapproval,-0.00049472984,0.00049472984
reverse_mortgage,0.0004169128,0.0004169128
open_end_line_of_credit,0.00033065202,0.00033065202
interest_only_payment,0.00021450047,0.00021450047
balloon_payment,0.0001641314,0.0001641314
other_nonamortizing_features,9.15863e-05,9.15863e-05
loan_type,0.0,0.0
business_or_commercial_purpose,0.0,0.0
initially_payable_to_institution,0.0,0.0
loan_purpose,0.0,0.0
lien_status,0.0,0.0
conforming_loan_limit,-0.0,0.0
construction_method,0.0,0.0
