feature,attribution,abs_attribution
occupancy_type,-0.002466613,0.002466613
negative_amortization,0.001249518,0.001249518
loan_purpose,-0.0012410821,0.0012410821
action_taken,-0.0007948498,0.0007948498
conforming_loan_limit,-0.0007235231,0.0007235231
manufactured_home_land_property_interest,-0.00062554725,0.00062554725
reverse_mortgage,0.0005079334,0.0005079334
open_end_line_of_credit,-0.00025623207,0.00025623207
preapproval,-0.00024602175,0.00024602175
other_nonamortizing_features,-0.00019893519,0.00019893519
manufactured_home_secured_property_type,0.00015088399,0.00015088399
loan_type,0.0,0.0
balloon_payment,-0.0,0.0
business_or_commercial_purpose,0.0,0.0
interest_only_payment,0.0,0.0
initially_payable_to_institution,0.0,0.0
lien_status,-0.0,0.0
construction_method,0.0,0.0
