feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.0028086763,0.0028086763
negative_amortization,0.0016107886,0.0016107886
reverse_mortgage,0.00031549594,0.00031549594
loan_purpose,0.00030103544,0.00030103544
conforming_loan_limit,-0.00026949003,0.00026949003
other_nonamortizing_features,-0.00019819851,0.00019819851
manufactured_home_secured_property_type,-8.8761044e-05,8.8761044e-05
preapproval,5.037488e-05,5.037488e-05
business_or_commercial_purpose,0.0,0.0
open_end_line_of_credit,0.0,0.0
loan_type,0.0,0.0
balloon_payment,-0.0,0.0
construction_method,0.0,0.0
interest_only_payment,0.0,0.0
initially_payable_to_institution,-0.0,0.0
occupancy_type,-0.0,0.0
lien_status,-0.0,0.0
action_taken,-0.0,0.0
