feature,attribution,abs_attribution
manufactured_home_land_property_interest,-0.001827893,0.001827893
manufactured_home_secured_property_type,-0.0012157744,0.0012157744
initially_payable_to_institution,-0.0011768357,0.0011768357
business_or_commercial_purpose,0.001094308,0.001094308
negative_amortization,0.001044072,0.001044072
lien_status,-0.0008027084,0.0008027084
conforming_loan_limit,-0.00071777945,0.00071777945
reverse_mortgage,0.0006736268,0.0006736268
loan_purpose,0.00061406515,0.00061406515
other_nonamortizing_features,-0.00054755,0.00054755
preapproval,-7.1325376e-05,7.1325376e-05
balloon_payment,-0.0,0.0
open_end_line_of_credit,0.0,0.0
loan_type,0.0,0.0
construction_method,-0.0,0.0
interest_only_payment,0.0,0.0
occupancy_type,-0.0,0.0
action_taken,-0.0,0.0
