feature,attribution,abs_attribution
business_or_commercial_purpose,0.0018249071,0.0018249071
negative_amortization,0.0014222639,0.0014222639
loan_purpose,0.0008771287,0.0008771287
preapproval,-0.00085728406,0.00085728406
other_nonamortizing_features,0.0007963468,0.0007963468
conforming_loan_limit,-0.00061084295,0.00061084295
lien_status,-0.0004020166,0.0004020166
construction_method,-0.00032565577,0.00032565577
balloon_payment,-0.00027450296,0.00027450296
reverse_mortgage,-1.4845732e-05,1.4845732e-05
initially_payable_to_institution,0.0,0.0
manufactured_home_land_property_interest,-0.0,0.0
occupancy_type,-0.0,0.0
interest_only_payment,0.0,0.0
manufactured_home_secured_property_type,-0.0,0.0
loan_type,-0.0,0.0
open_end_line_of_credit,-0.0,0.0
action_taken,-0.0,0.0
