feature,attribution,abs_attribution
occupancy_type,-0.0026100134,0.0026100134
manufactured_home_land_property_interest,-0.0024820021,0.0024820021
negative_amortization,0.0012330351,0.0012330351
manufactured_home_secured_property_type,-0.00053113437,0.00053113437
reverse_mortgage,0.00051468407,0.00051468407
action_taken,-0.0004715607,0.0004715607
preapproval,-0.0004128561,0.0004128561
loan_purpose,0.0003839732,0.0003839732
other_nonamortizing_features,-0.00033560328,0.00033560328
balloon_payment,-0.0003298843,0.0003298843
business_or_commercial_purpose,0.00029379383,0.00029379383
conforming_loan_limit,-0.00015137969,0.00015137969
interest_only_payment,1.5347057e-05,1.5347057e-05
initially_payable_to_institution,0.0,0.0
lien_status,-0.0,0.0
loan_type,0.0,0.0
open_end_line_of_credit,-0.0,0.0
construction_method,0.0,0.0
