feature,attribution,abs_attribution
business_or_commercial_purpose,0.0022484292,0.0022484292
negative_amortization,0.0015140023,0.0015140023
construction_method,-0.0012046448,0.0012046448
preapproval,-0.0010209449,0.0010209449
action_taken,-0.00090499845,0.00090499845
loan_purpose,-0.00088035286,0.00088035286
loan_type,-0.0007571529,0.0007571529
reverse_mortgage,0.00071863877,0.00071863877
interest_only_payment,0.0005263992,0.0005263992
conforming_loan_limit,0.00033407303,0.00033407303
balloon_payment,-0.0002364249,0.0002364249
open_end_line_of_credit,7.716213e-05,7.716213e-05
other_nonamortizing_features,-4.861361e-05,4.861361e-05
lien_status,0.0,0.0
occupancy_type,-0.0,0.0
initially_payable_to_institution,0.0,0.0
manufactured_home_land_property_interest,-0.0,0.0
manufactured_home_secured_property_type,-0.0,0.0
